哦	o2，真不走运。	Oh, that's tough luck.
工作者	我们的文艺gong1zuo4zhe3一定要完成这个任务，转变他们的立场。	Our literary and art workers must accomplish this task and shift their stand.
右侧	船突然向you4ce4倾斜.	The ship gave a lurch to starboard.
不公	六个月监禁的判决极其bu4gong1。	The sentence of six months imprisonment was most unjust.
下山	太阳xia4shan1后天气很快就会冷下来。	It gets cold quickly when the sun goes down.
马力	你的车子使用高级汽油可以增大ma3li4。	High-test gasoline will soup up your car.
脱落	这个树枝已从树干上tuo1luo4了.	The branch has separated from the trunk of the tree.
陈年	在他的酒类收藏中有一些名贵的chen2nian2葡萄酒。	He have some rare old vintage in his collection of wine.
牛津	我们中午能到Niu2jin1吗?	D'you think we'll make Oxford by midday?
讯号	课程包括：电力系统，90分；xun4hao4处理，88分；系统控制，92分；电力能源系统，92分；固体电子学，88分；通讯，94分。	Curriculum included: Electric power systems,90; Signal processing,88; Systems and control,92; Electric energy systems,92; Solid-state electronics,88; Communications,94.
衰竭	终止于shuai1jie2是“死亡”，但“圆满”却终止于无穷。	That which ends in exhaustion is death, but the perfect ending is in the endless.
变革	人民群众普遍反对突然实行的bian4ge2。	The populace at large are opposed to sudden change.
加深	这种感觉一年一年地jia1shen1了。	The feeling deepened with the passing of the years.
枪毙	警察qiang1bi4了6个抢劫银行的匪徒。	The police shoot six gangsters in the bank raid.
重伤	这名士兵胸部受了zhong4shang1。	The soldier received a serious wound on the chest.
效忠	1986年布什所预料到的尴尬情形果然发生了。他的政治生涯的确受到威胁。他[对里根]的xiao4zhong1到了瘫痪自己的程度。这固然是个人美德，但在政治上却是障碍。	The dilemma that Bush foresaw in1986 has come to pass. His political career is indeed at stake, and his paralyzing loyalty is becoming a political handicap as well as a personal virtue.
相交	垂直线与水平线在此xiang1jiao1.	The vertical line meets the horizontal one here.
顺从	永恒不变的个人恒心和经常shun4cong2的挂念	Constant personal attention and often obsequious solicitude.
新房	他在找xin1fang2子时把家具存放在仓库里。	His furniture is in storage while he finds a new house.
接替	jie1ti4他担任主席的人将参加本次会议。	His successor as the chairman will be at the conference.
身躯	她纤弱的shen1qu1因阵阵咳嗽而发颤。	Her slight frame was shaken by bouts of coughing.
长处	忍耐是他的chang2chu4。	Patience is his strong suit.
荒芜	我们已经灌溉了huang1wu2地区使它肥沃。	We have irrigated the desert area to make it fertile.
盟友	我们的处境已不容我们对meng2you3再存多少幻想了.	We're left with few illusions about ourally.
遇难	在伦敦遭空袭时, 有很多老百姓yu4nan4.	Many civilians were killed in the air raids on London.
列出	她lie4chu1了我们要购买的东西--糖、 茶叶、 肥皂等.	She enumerated the items we had to buy sugar, tea, soap, etc.
毛茸茸	我喜欢这块布给我的感觉，它摸上去mao2rong1rong1的很暖和。	I like the feel of this cloth; it has a warm woolly feel.
咽喉	我准备做一次yan1hou2细菌培养，以便确诊。	I am going to take a throat culture so we'll know for sure.
捂住	他伸手wu3 zhu4她的嘴, 不让她叫喊.	He put his hand over her mouth to stop her screaming.
零售	我以ling2shou4方式买来这些牛奶。	I bought the milk retail.
刺骨	天气太冷了，他感到寒冷ci4gu3。	It was so cold that he felt frozen to the marrow.
瓷器	包装ci2qi4时在周围多放些包装材料。	Put plenty of wrapping round the china when you pack it.
对视	她垂下双目以避免dui4 shi4。	She cast her eyes down to avoid direct eye contact.
左侧	哈姆雷特从舞台zuo3ce4退下。	Hamlet goes off stage left.
子孙	我们必须为zi3sun1后代保护森林资源。	We must conserve our forests and woodlands for future generations.
粒子	衰变的具有相对较短的寿命而衰变，常用于亚原子li4zi3	Decaying with relatively short lifetime. Used of subatomic particles.
谈到	一tan2dao4暑假，我们大家都变兴奋了。	When it came to the summer vacation, we all became excited.
驱动	这些发动机是由蒸汽qu1dong4的。	The engines are driven by steam.
竟敢	你jing4gan3冲我吐舌头!	Don't you dare stick your tongue out at me!
偷偷摸摸	这孩子tou1tou1-mo1mo1地溜出了屋子, 走向游泳池。	The boy slipped out of the room and headed for the swimming pool secretly.
同谋	警察逮捕了他和他的两个tong2mou2。	The police arrested him and his two accomplices.
芬芳	花园里的空气又温暖又fen1fang1。	The air in the garden was warm and fragrant.
胶卷	你用的jiao1juan3感光度是多少?	What's the speed of the film you're using?
果酱	到柜子那儿把guo3jiang4取下来。	Go to the cupboard and get down the jam.
养育	在我还未结婚之前，我有过六项yang3yu4孩子的理论；现在我有六个孩子了，再没有什么理论啦。	Before I get married I have six theories about bringing up children; now I have six children, and no theories.
提包	他抢走我手中的ti2bao1就跑了.	He just grabbed the bag from my hand and ran off.
花草	夏天时，山坡上长满了hua1cao3。	The hillside is covered by grass and flowers in summer.
亭	碰巧在附近有个公用电话ting2。	It happened that there was a telephone booth nearby.
卧铺	火车中的侍者，服务员火车上的wo4pu4车厢或特等豪华客车中服务于旅客的雇员	A railroad employee who waits on passengers in a sleeping car or parlor car.
使唤	国王有奴仆们随时听他shi3huan5.	The king has always had servants at his beck and call.
制造商	这台机器的zhi4zao4shang1在哪？	Where is the manufacturer of the machine?
萦绕	他心头一直ying2rao4著可能失业的恐惧感.	The spectre of unemployment was always on his mind.
展出	他的绘画正在展览会上zhan3chu1。	His paintings are on display at the exhibition.
序列	对计算机程序中的指令xu4lie4的检测和记录，例如在监控程序和调试程序中使用的情况。	The detection and recording of the sequencing of instructions in computer programs, for example, as used in monitors and debugging routines.
马赛	我很走运，在最后几场Ma3sai4中，接二连三地赌赢了。	Fortunately, I picked winners back to back in the last few races.
日照	在有充足的水分的地方，有好的ri4zhao4时，大多数植物生长良好。	Most plants grow well where there is sufficient moisture and when there is good sunshine.
路灯	lu4deng1在黄昏时开, 拂晓时关.	The street lights come on at dusk and go off at dawn.
脉冲	这台机器由电子mai4chong1信号操纵.	The machine is operated by an electronic pulse.
鞭子	那个罪犯找到後就要挨bian1zi5抽打.	The culprit will be whipped when he is found.
辨别	你能bian4bie2这两个品种吗?	Can you differentiate between the two varieties?
校内	在午饭时间, 值班教师负责维持xiao4nei4秩序.	The teachers on duty are policing the school buildings during the lunch hour.
便车	我可以搭乘你的bian4che1到车站吗？	Can I hitch a lift with you as far as the station?
一般来说	到了7月底左右，犁地yi1ban1 lai2 shuo1已结束，要对庄稼进行最后一道中耕了。	The ploughing generally ceases and the crp is laid by about the last of July.
乘务员	他的邻居是一个cheng2wu4yuan2领班。	His neighbor is a chief steward.
学好	要xue2hao3英语就要处处学习用英语思考。	To learn English well one has to learn to think in English at every turn.
编码	产生某种指定类型和格式的结果的程序或另一种bian1ma3序列（如“宏生成程序”、“微代码生成程序”）。	A program or other coding sequence that produces a result of specified type and format(""a macro generator"";""a microcode generator"").
衰弱	他喝酒过多, 身体逐渐shuai1ruo4了.	He started to drink too much and gradually ran to seed.
羊羔	肥畜养肥备宰的幼畜（如yang2gao1、牛犊）	A young animal, such as a lamb or calf, fattened for slaughter.
捉住	他追赶窃贼却未zhuo1zhu4.	He chased (after) the burglar but couldn't catch him.
烫伤	锅炉爆炸时她被tang4shang1了。	She was scalded when the boiler exploded.
后头	我们出门散步时，孩子们总是落在hou4tou5。	The children always lag behind when we go for a walk.
槽	他在食cao2里放了些草。	He put some grass in the manger.
高等	粉红色色彩中略带红色的颜色中的一组，亮度中到gao1deng3，彩度饱和度从低到中等	Any of a group of colors reddish in hue, of medium to high lightness, and of low to moderate saturation.
信守	不用说，他xin4shou3了他的诺言。	Needless to say, he kept his promise.
多重	这个箱子有duo1chong2？	How heavy is this box?
伯伯	他bo2bo5特别喜爱他.	He is a favourite with his uncle/a favourite of his uncle's/his uncle's favourite.
挫败	政府受到反对派阻挠而cuo4bai4.	The government were defeated by the obstructionism of their opponents.
席卷	熊熊烈火xi2juan3森林。	Billows of flame swept through the forest.
天主教徒	Tian1zhu3jiao4tu2透过告解以获得赦罪[净化灵魂].	Catholics go to confession to be purged of sin/purge (away) their sin/purge their souls of sin.
接头	这两个jie1tou2衔接得很好。	The two joints hang together pretty well.
微型	由Apple计算机公司制造的各种普及型wei1xing2计算机。	A range of popular microcomputers manufactured by Apple Computers.
显示器	在阴极射线管xian3shi4qi4中，用电子束激励后荧光物质光发射的持续现象。	In cathode ray tube display, the continuation of light emission from phosphor after excitation by the electron beam.
